school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,G1.y,G2.y,G3.y
GP,F,16,U,LE3,T,3,1,other,other,home,yes,no,father,1,2,0,yes,yes,no,no,yes,no,3,3,3,2,3,2,0,C,C,C,12,13,12
GP,F,17,R,LE3,T,4,4,services,other,other,yes,no,mother,1,1,0,no,yes,no,no,yes,no,5,2,1,1,2,3,6,C,C,C,12,11,11
GP,F,17,U,GT3,A,3,3,health,other,reputation,no,yes,mother,1,2,0,no,yes,no,no,yes,yes,3,3,3,1,3,3,10,C,C,C,12,13,14
GP,F,17,U,GT3,T,1,1,at_home,other,reputation,yes,no,mother,1,3,0,no,yes,no,yes,yes,yes,4,3,4,1,1,5,12,C,C,C,12,12,12
GP,F,17,U,GT3,T,1,1,at_home,services,course,yes,yes,mother,1,2,0,no,no,no,yes,yes,no,5,3,3,1,1,3,0,C,C,C,12,11,12
GP,F,17,U,GT3,T,2,2,at_home,at_home,course,yes,yes,mother,1,3,0,no,yes,no,yes,yes,no,4,3,3,1,1,4,0,C,C,C,12,12,13
GP,F,17,U,GT3,T,2,2,other,other,course,no,yes,mother,1,2,0,no,yes,no,no,yes,no,5,4,5,1,2,5,12,C,C,C,12,12,14
GP,F,17,U,GT3,T,2,3,at_home,other,home,yes,no,father,2,1,0,no,yes,no,no,yes,no,3,3,3,1,4,3,4,C,C,C,12,13,13
GP,F,17,U,GT3,T,3,2,other,other,home,yes,yes,mother,1,2,0,no,yes,no,no,yes,yes,4,3,2,2,3,2,0,C,C,C,12,13,15
GP,F,17,U,LE3,T,2,2,services,other,course,yes,yes,mother,2,2,0,yes,yes,no,no,yes,yes,4,4,4,2,3,5,6,C,C,C,12,12,12
GP,F,18,R,GT3,A,3,2,other,services,home,no,yes,mother,2,2,0,no,no,no,no,no,yes,4,1,1,1,1,5,15,C,B,B,12,9,10
GP,F,18,U,GT3,T,1,1,other,other,home,yes,yes,mother,2,2,0,yes,no,no,yes,yes,no,5,4,4,1,1,4,0,C,C,C,12,13,13
GP,F,18,U,GT3,T,2,1,other,other,course,no,yes,other,2,3,0,no,yes,no,no,yes,yes,4,4,4,1,1,3,10,C,B,C,12,10,11
GP,F,18,U,GT3,T,2,1,services,other,course,yes,yes,mother,2,2,0,no,yes,no,yes,yes,no,5,3,3,1,2,1,2,C,C,C,12,12,15
GP,F,18,U,GT3,T,4,4,teacher,other,course,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,4,4,4,3,3,5,0,C,C,C,12,11,13
GP,F,19,U,GT3,T,3,3,other,other,reputation,yes,yes,other,1,4,0,no,yes,no,yes,yes,no,4,3,3,1,2,3,4,C,C,C,12,12,12
GP,M,15,R,GT3,T,3,4,at_home,teacher,course,yes,no,mother,4,2,0,no,yes,no,no,yes,yes,5,3,3,1,1,5,2,C,C,C,12,11,11
GP,M,15,R,GT3,T,4,4,other,other,home,yes,yes,father,4,4,0,no,yes,no,yes,yes,yes,1,3,5,3,5,1,8,C,B,C,12,10,11
GP,M,15,U,GT3,T,3,4,other,other,home,yes,yes,mother,1,2,0,no,yes,no,yes,yes,no,5,5,1,1,1,5,0,C,C,C,12,12,13
GP,M,15,U,GT3,T,4,0,teacher,other,course,yes,yes,mother,2,4,0,no,no,no,yes,yes,no,3,4,3,1,1,1,0,C,C,C,12,11,11
GP,M,15,U,GT3,T,4,3,teacher,other,course,yes,yes,mother,2,2,0,no,yes,no,no,yes,no,5,4,3,1,2,3,0,C,C,C,12,12,13
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,yes,yes,mother,1,2,0,no,no,no,no,yes,no,4,4,1,1,1,1,0,C,C,C,12,13,14
GP,M,15,U,GT3,T,4,4,services,other,course,no,yes,mother,1,1,0,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,C,C,C,12,13,12
GP,M,15,U,LE3,A,2,1,services,other,course,yes,yes,mother,4,1,0,no,no,no,no,yes,no,4,5,5,2,5,5,0,C,C,C,12,11,11
GP,M,15,U,LE3,T,4,4,health,services,course,yes,yes,father,1,1,0,no,yes,no,yes,yes,no,4,3,3,1,3,5,0,C,C,C,12,13,12
GP,M,16,R,GT3,T,2,2,at_home,other,course,no,no,mother,3,1,0,no,no,no,no,yes,no,4,2,2,1,2,3,4,C,B,C,12,10,11
GP,M,16,U,GT3,T,2,2,services,other,reputation,no,yes,father,2,2,0,no,no,no,yes,yes,no,4,4,2,1,1,3,6,C,B,C,12,10,11
GP,M,16,U,GT3,T,3,2,at_home,other,reputation,yes,yes,mother,2,3,0,no,no,no,yes,yes,yes,5,3,3,1,3,2,0,C,C,C,12,12,12
GP,M,16,U,GT3,T,3,2,other,other,home,no,yes,mother,1,1,0,no,yes,no,no,yes,no,5,4,3,1,1,5,4,C,C,C,12,12,12
GP,M,16,U,GT3,T,4,4,health,other,course,yes,yes,mother,1,1,0,no,yes,no,yes,yes,no,3,4,4,1,4,5,4,C,C,C,12,13,13
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,yes,yes,mother,1,2,0,no,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,C,C,C,12,11,12
GP,M,16,U,LE3,A,3,4,services,other,home,yes,yes,mother,1,2,0,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,C,C,C,12,12,13
GP,M,16,U,LE3,T,2,2,services,services,reputation,yes,yes,father,2,1,0,no,yes,no,yes,yes,no,2,3,3,2,2,2,4,C,C,C,12,11,11
GP,M,16,U,LE3,T,4,2,teacher,other,course,yes,yes,mother,1,2,0,no,no,no,yes,yes,no,4,5,1,1,3,5,0,C,C,C,12,13,14
GP,M,16,U,LE3,T,4,3,health,other,home,yes,yes,father,1,1,0,no,no,no,yes,yes,no,3,1,3,1,3,5,6,C,C,C,12,12,12
GP,M,16,U,LE3,T,4,3,services,other,reputation,yes,yes,mother,1,2,0,no,yes,no,yes,yes,no,5,4,2,1,2,5,6,C,C,C,12,12,13
GP,M,17,R,GT3,T,1,3,other,other,course,yes,yes,father,3,2,1,no,yes,no,yes,yes,no,5,2,4,1,4,5,14,C,C,C,12,11,11
GP,M,17,R,GT3,T,2,1,other,other,course,no,yes,mother,1,1,0,no,no,no,no,yes,no,4,4,2,2,4,5,0,C,C,C,12,12,13
GP,M,17,R,GT3,T,2,2,other,other,course,yes,yes,father,2,2,0,no,yes,no,yes,yes,no,4,5,2,1,1,1,0,C,C,C,12,13,13
GP,M,17,R,LE3,A,4,4,teacher,other,course,yes,yes,mother,2,2,0,no,yes,no,no,yes,no,3,3,3,2,3,4,0,C,C,C,12,12,12
GP,M,17,U,GT3,T,1,1,other,other,reputation,no,yes,father,1,2,0,no,no,no,no,yes,no,4,3,3,1,2,4,0,C,C,C,12,12,12
GP,M,17,U,LE3,T,4,4,other,teacher,home,yes,yes,father,2,1,0,no,no,no,no,yes,no,4,1,1,2,2,5,0,C,C,C,12,13,13
GP,M,18,U,GT3,T,2,2,services,other,home,yes,yes,mother,1,2,0,no,yes,no,yes,yes,no,4,4,4,2,4,5,10,C,C,C,12,11,11
GP,M,18,U,GT3,T,4,4,teacher,services,home,yes,yes,father,1,2,0,no,yes,no,yes,yes,no,4,3,3,2,2,2,0,C,C,C,12,12,13
GP,M,18,U,GT3,T,4,4,teacher,services,home,yes,yes,father,1,2,0,no,yes,no,yes,yes,no,4,3,3,2,2,2,0,C,C,C,12,12,13
MS,F,17,R,GT3,T,4,4,teacher,services,other,yes,yes,father,2,2,0,no,yes,yes,yes,yes,no,4,3,3,1,2,5,2,C,C,C,12,12,12
GP,F,15,R,GT3,T,1,1,at_home,other,home,yes,yes,mother,2,4,0,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,C,C,C,13,13,13
GP,F,15,R,GT3,T,1,1,other,other,reputation,no,yes,mother,1,2,0,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,C,C,C,13,11,11
GP,F,15,R,GT3,T,3,3,services,services,reputation,yes,yes,other,2,3,0,no,yes,yes,yes,yes,yes,4,2,1,2,3,3,2,C,C,C,13,13,13
GP,F,15,U,GT3,T,1,1,other,other,home,no,yes,father,1,2,0,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,C,C,C,13,12,12
GP,F,15,U,GT3,T,1,2,at_home,other,course,no,yes,mother,1,2,0,no,yes,no,no,yes,no,4,3,2,1,1,5,6,C,C,C,13,12,13
GP,F,15,U,GT3,T,4,4,services,at_home,course,yes,yes,mother,1,3,0,no,yes,no,yes,yes,yes,4,3,3,1,1,5,4,C,C,C,13,14,15
GP,F,15,U,GT3,T,4,4,services,services,course,yes,yes,mother,1,1,0,yes,yes,no,no,yes,no,3,3,4,2,3,5,0,C,C,C,13,12,12
GP,F,15,U,GT3,T,4,4,services,teacher,other,no,yes,father,1,2,0,yes,yes,no,yes,yes,no,4,4,4,1,1,3,2,C,C,C,13,12,12
GP,F,15,U,GT3,T,4,4,teacher,services,course,yes,yes,mother,1,3,0,no,yes,no,yes,yes,no,4,2,2,1,1,5,2,C,C,C,13,13,13
GP,F,15,U,GT3,T,4,4,teacher,teacher,course,yes,yes,mother,2,1,0,no,no,no,yes,yes,no,4,3,2,1,1,5,6,C,C,C,13,14,14
GP,F,15,U,LE3,A,3,3,other,other,other,yes,yes,mother,1,1,0,no,no,no,no,yes,no,5,3,4,4,4,1,0,C,C,C,13,12,13
GP,F,15,U,LE3,T,4,3,services,services,reputation,yes,yes,father,1,2,0,yes,no,no,yes,yes,yes,4,4,4,2,4,2,0,C,C,C,13,12,12
GP,F,16,R,GT3,T,2,2,services,services,reputation,no,yes,mother,2,4,0,no,yes,no,yes,yes,no,5,3,5,1,1,5,6,C,C,C,13,13,13
GP,F,16,U,GT3,A,2,2,other,other,reputation,yes,yes,mother,1,2,0,yes,yes,no,no,yes,no,3,3,4,1,1,4,0,C,C,C,13,13,13
GP,F,16,U,GT3,T,2,1,other,other,course,yes,no,mother,1,2,0,no,yes,no,no,yes,yes,4,3,5,1,1,5,0,C,C,C,13,12,12
GP,F,16,U,GT3,T,2,2,other,other,reputation,yes,yes,mother,1,4,0,no,no,no,no,yes,yes,5,2,3,1,3,3,1,C,C,C,13,13,13
GP,F,16,U,GT3,T,2,2,services,other,reputation,no,yes,mother,2,2,0,no,no,no,yes,yes,no,3,4,4,1,4,5,0,C,C,C,13,12,14
GP,F,16,U,GT3,T,2,3,services,teacher,other,yes,yes,mother,1,2,0,yes,no,no,no,yes,no,2,3,1,1,1,3,0,C,C,C,13,13,14
GP,F,16,U,GT3,T,3,3,other,other,reputation,yes,no,mother,3,2,0,yes,yes,no,yes,yes,no,5,3,2,1,1,4,2,C,C,C,13,14,14
GP,F,16,U,GT3,T,4,2,teacher,services,home,yes,yes,mother,2,2,0,no,yes,no,yes,yes,no,5,3,3,1,1,1,2,C,C,C,13,14,14
GP,F,16,U,GT3,T,4,4,services,services,reputation,yes,yes,mother,1,3,0,no,yes,no,yes,yes,no,3,2,3,1,2,2,10,C,C,C,13,13,14
GP,F,16,U,LE3,A,3,3,other,services,home,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,2,3,5,1,4,3,6,C,C,C,13,12,13
GP,F,16,U,LE3,T,1,2,other,services,reputation,yes,yes,father,1,2,0,yes,no,no,yes,yes,no,4,4,3,1,1,1,0,C,C,B,13,13,10
GP,F,16,U,LE3,T,2,2,at_home,other,course,yes,no,mother,1,2,0,no,yes,no,no,yes,no,4,3,4,1,2,2,6,C,C,C,13,11,11
GP,F,17,R,GT3,T,2,1,at_home,services,course,yes,no,mother,3,2,0,no,no,no,yes,yes,no,2,1,1,1,1,3,2,C,C,C,13,13,13
GP,F,17,R,GT3,T,2,2,other,other,reputation,yes,yes,mother,1,1,0,no,yes,no,no,yes,no,5,3,2,1,2,3,21,C,C,C,13,13,13
GP,F,17,U,GT3,T,1,1,services,teacher,reputation,yes,yes,mother,1,3,0,no,yes,no,no,yes,no,4,3,3,1,1,3,0,C,C,C,13,13,14
GP,F,17,U,GT3,T,4,4,other,teacher,course,yes,no,mother,1,1,0,yes,yes,no,no,yes,yes,4,2,1,1,1,4,0,C,C,C,13,13,13
GP,F,17,U,GT3,T,4,4,teacher,services,course,yes,yes,mother,1,3,0,no,yes,no,yes,yes,no,5,4,4,1,3,4,0,C,C,C,13,12,13
GP,F,17,U,LE3,T,2,2,other,other,course,yes,yes,father,1,1,0,no,yes,no,no,yes,yes,3,4,4,1,3,5,2,C,C,C,13,12,12
GP,F,18,U,LE3,T,1,1,other,other,home,no,no,mother,2,2,0,no,yes,no,no,yes,no,4,4,3,1,1,3,2,C,C,C,13,13,13
GP,F,18,U,LE3,T,4,3,other,other,home,yes,yes,other,2,2,0,no,yes,no,no,yes,yes,4,4,5,1,2,2,0,C,C,C,13,14,14
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,yes,yes,mother,1,2,0,no,yes,no,yes,yes,yes,4,5,2,1,1,5,0,C,C,C,13,14,15
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,yes,yes,mother,1,1,0,no,no,no,yes,yes,no,5,5,3,1,1,4,4,C,C,C,13,14,14
GP,M,15,U,LE3,T,2,2,services,services,home,yes,yes,mother,2,2,0,no,no,yes,yes,yes,no,5,3,3,1,3,4,2,C,C,C,13,12,13
GP,M,15,U,LE3,T,3,3,other,other,course,no,yes,mother,1,2,0,no,no,no,yes,yes,no,5,3,2,1,1,2,0,C,C,C,13,12,12
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,yes,yes,mother,2,3,0,no,yes,no,yes,yes,yes,2,4,3,1,1,5,4,C,C,C,13,13,13
GP,M,16,U,GT3,T,2,3,other,other,home,yes,yes,father,2,1,0,no,no,no,no,yes,no,5,3,3,1,1,3,0,C,C,C,13,12,12
GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,no,mother,1,1,0,no,no,no,yes,yes,no,5,3,2,2,2,5,0,C,C,C,13,13,14
GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,yes,father,2,4,0,no,yes,no,no,yes,no,4,3,2,1,1,5,2,C,C,C,13,11,11
GP,M,16,U,GT3,T,3,3,services,other,home,yes,yes,father,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,C,C,C,13,14,14
GP,M,16,U,GT3,T,3,3,services,other,home,yes,yes,father,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,C,C,C,13,14,14
GP,M,16,U,GT3,T,4,4,health,other,reputation,yes,yes,father,1,2,0,no,yes,no,yes,yes,no,4,2,4,2,4,1,0,C,C,C,13,13,14
GP,M,16,U,LE3,T,2,1,other,other,course,yes,yes,mother,1,2,0,no,no,no,yes,yes,yes,4,2,3,1,2,5,0,C,C,D,13,14,16
GP,M,16,U,LE3,T,2,2,other,other,home,yes,yes,mother,1,2,0,no,no,no,no,yes,no,4,4,4,1,1,3,0,C,C,C,13,12,13
GP,M,17,U,GT3,T,4,4,services,teacher,home,yes,yes,mother,1,1,0,no,no,no,no,yes,no,5,2,3,1,2,5,4,C,C,C,13,13,14
GP,M,17,U,GT3,T,4,4,teacher,teacher,reputation,yes,yes,mother,1,2,0,yes,yes,no,yes,yes,yes,4,5,5,1,3,2,0,C,C,C,13,13,13
GP,M,17,U,LE3,A,3,2,teacher,services,home,yes,yes,mother,1,1,0,no,no,no,no,yes,no,4,4,4,3,4,3,18,C,C,C,13,13,13
GP,M,17,U,LE3,T,4,4,services,other,home,yes,yes,mother,1,2,0,no,yes,no,no,yes,yes,5,3,5,4,5,3,15,C,C,C,13,12,12
GP,M,18,U,GT3,T,4,4,other,other,course,yes,yes,mother,1,3,0,no,no,no,yes,yes,no,4,3,3,2,2,3,0,C,C,C,13,14,13
MS,F,17,R,GT3,T,1,2,other,services,course,no,no,father,2,2,0,no,no,no,no,yes,no,3,2,2,1,2,3,0,C,C,C,13,13,13
MS,F,18,R,LE3,T,4,4,teacher,services,course,yes,yes,mother,1,2,0,no,no,no,yes,yes,no,5,4,3,3,4,2,1,C,C,C,13,14,14
MS,F,18,U,GT3,T,3,3,services,services,other,yes,yes,mother,2,2,0,no,yes,no,no,yes,yes,4,3,2,1,3,3,6,C,C,C,13,12,13
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,yes,no,mother,1,1,0,yes,yes,no,yes,yes,no,4,3,1,1,1,2,8,C,C,C,14,13,12
GP,F,15,U,GT3,T,1,2,at_home,services,course,no,yes,mother,1,2,0,no,no,no,no,yes,no,3,2,3,1,2,1,0,C,C,C,14,14,14
GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes,mother,1,3,0,no,yes,no,yes,yes,yes,3,2,2,1,1,5,0,C,C,C,14,14,14
GP,F,15,U,GT3,T,4,3,services,other,reputation,yes,yes,mother,1,1,0,no,no,no,yes,yes,no,4,5,5,1,3,1,6,C,C,C,14,13,13
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,3,3,3,1,2,2,2,C,C,C,14,14,14
GP,F,16,U,GT3,T,1,3,at_home,services,home,no,yes,mother,1,2,0,no,no,no,yes,yes,yes,4,3,5,1,1,3,0,C,C,C,14,13,13
GP,F,16,U,GT3,T,3,2,other,other,reputation,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,1,2,2,1,2,1,8,C,C,D,14,15,16
GP,F,16,U,GT3,T,4,3,health,other,home,yes,yes,mother,1,2,0,no,yes,no,yes,yes,no,4,3,5,1,5,2,2,C,C,C,14,14,15
GP,F,16,U,GT3,T,4,3,teacher,health,home,yes,yes,mother,1,3,0,yes,yes,no,yes,yes,no,3,4,4,2,4,4,0,C,C,C,14,13,13
GP,F,16,U,GT3,T,4,3,teacher,other,other,yes,yes,mother,1,2,0,no,no,no,yes,yes,yes,1,3,2,1,1,1,4,C,C,C,14,15,15
GP,F,16,U,LE3,T,2,2,services,services,course,yes,yes,mother,3,2,0,no,yes,no,no,yes,no,4,3,3,2,3,4,0,C,C,C,14,13,13
GP,F,16,U,LE3,T,2,4,other,health,course,yes,yes,father,2,2,0,no,yes,no,yes,yes,yes,4,2,2,1,2,5,2,C,C,C,14,12,13
GP,F,16,U,LE3,T,3,3,other,other,reputation,yes,yes,mother,2,2,0,no,yes,no,yes,yes,no,4,4,5,1,1,4,0,C,C,C,14,14,15
GP,F,17,R,GT3,A,3,2,other,other,home,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,4,3,3,2,3,2,0,C,C,D,14,14,16
GP,F,17,U,GT3,T,1,1,other,other,course,no,no,mother,1,2,0,no,yes,no,no,yes,no,4,4,4,1,3,1,0,C,C,C,14,15,15
GP,F,17,U,GT3,T,2,2,other,other,course,yes,no,mother,1,2,0,no,yes,no,no,yes,yes,4,2,2,1,1,3,4,C,C,C,14,13,13
GP,F,17,U,GT3,T,4,4,services,teacher,home,yes,yes,mother,2,1,1,no,yes,no,no,yes,no,4,2,4,2,3,2,30,C,C,D,14,15,16
GP,F,17,U,LE3,T,0,2,at_home,at_home,home,yes,yes,father,2,3,0,no,no,no,no,yes,no,3,3,3,2,3,2,0,C,C,C,14,14,15
GP,F,17,U,LE3,T,2,4,services,services,course,yes,yes,father,1,2,0,no,no,no,yes,yes,yes,4,3,2,1,1,5,8,C,C,D,14,15,16
GP,F,17,U,LE3,T,3,2,other,other,reputation,yes,yes,mother,2,2,0,no,no,no,no,yes,no,4,4,4,1,3,1,2,C,D,C,14,16,15
GP,F,17,U,LE3,T,3,3,other,other,reputation,yes,yes,mother,1,2,0,no,yes,no,yes,yes,yes,5,3,3,2,3,1,32,C,C,C,14,13,14
GP,F,17,U,LE3,T,4,2,teacher,services,reputation,yes,yes,mother,1,4,0,no,yes,no,yes,yes,no,4,2,3,1,1,4,2,C,C,D,14,15,17
GP,F,17,U,LE3,T,4,3,health,other,reputation,yes,yes,father,1,2,0,no,no,no,yes,yes,yes,3,2,3,1,2,3,0,C,C,C,14,12,12
GP,F,18,R,GT3,T,2,2,at_home,other,course,yes,no,mother,2,4,0,no,no,no,yes,yes,no,4,4,4,1,1,4,6,C,C,C,14,13,14
GP,F,18,U,GT3,T,1,1,other,other,home,yes,yes,mother,2,3,0,no,no,no,yes,yes,no,4,5,5,1,2,2,0,C,C,C,14,14,14
GP,F,18,U,GT3,T,3,2,other,services,other,yes,yes,mother,1,3,0,no,no,no,no,yes,yes,5,4,3,2,3,1,4,C,D,D,14,16,17
GP,F,18,U,GT3,T,4,3,other,other,course,yes,yes,mother,1,3,0,no,yes,no,yes,yes,yes,4,3,4,1,1,5,2,C,C,D,14,15,17
GP,F,18,U,GT3,T,4,4,health,health,reputation,yes,yes,father,1,2,1,yes,yes,no,yes,yes,yes,2,4,4,1,1,4,2,C,C,C,14,12,13
GP,F,18,U,LE3,A,4,4,health,other,home,yes,yes,mother,1,2,0,no,yes,yes,no,yes,yes,4,2,4,1,1,4,0,C,C,C,14,15,15
GP,F,18,U,LE3,T,3,3,services,services,home,yes,yes,mother,1,4,0,no,yes,no,no,yes,no,5,3,3,1,1,1,4,C,C,C,14,14,15
GP,F,19,U,GT3,T,4,4,health,other,reputation,yes,yes,other,2,2,0,no,yes,no,yes,yes,no,2,3,4,2,3,2,2,C,C,C,14,13,13
GP,M,15,U,GT3,A,2,2,other,other,home,yes,yes,other,1,3,0,no,yes,no,no,yes,yes,4,5,2,1,1,3,0,C,C,C,14,14,15
GP,M,15,U,GT3,T,2,2,services,services,home,yes,yes,father,1,4,0,no,yes,no,yes,yes,no,5,5,4,1,2,5,6,C,C,C,14,13,13
GP,M,15,U,GT3,T,3,4,other,other,reputation,yes,yes,father,1,1,0,no,no,no,no,yes,no,3,4,3,1,2,4,2,C,C,C,14,13,14
GP,M,15,U,GT3,T,4,4,services,teacher,course,yes,yes,father,1,2,0,no,yes,no,yes,yes,no,4,3,3,1,1,5,0,C,C,C,14,15,15
GP,M,15,U,LE3,T,1,2,other,at_home,home,yes,yes,father,1,2,0,yes,yes,no,yes,yes,no,4,3,2,1,1,5,0,C,C,C,14,13,14
GP,M,15,U,LE3,T,4,3,teacher,services,home,yes,yes,mother,1,3,0,no,yes,no,yes,yes,no,5,4,3,1,1,4,0,C,C,C,14,14,14
GP,M,16,R,GT3,T,2,1,other,other,course,no,no,mother,2,1,0,no,no,no,yes,yes,no,3,3,2,1,3,3,2,C,C,C,14,13,12
GP,M,16,R,GT3,T,4,4,teacher,teacher,course,yes,yes,mother,1,1,0,no,no,no,yes,yes,no,3,5,5,2,5,4,8,C,C,C,14,14,15
GP,M,16,U,GT3,T,3,3,other,services,home,yes,yes,father,2,1,0,no,no,no,yes,yes,no,5,4,2,1,1,5,6,C,C,C,14,14,15
GP,M,16,U,GT3,T,4,4,services,services,course,yes,yes,mother,1,1,0,no,no,yes,yes,yes,no,5,3,2,1,2,5,4,C,C,C,14,15,15
GP,M,16,U,LE3,T,4,3,teacher,other,course,no,yes,mother,1,1,0,no,no,no,yes,yes,no,5,4,5,1,1,3,7,C,C,C,14,14,15
GP,M,17,U,GT3,T,3,3,health,other,home,yes,yes,mother,1,1,0,no,yes,no,no,yes,no,4,4,3,1,3,5,0,C,C,C,14,15,15
GP,M,18,R,LE3,T,3,2,services,other,reputation,yes,yes,mother,2,3,0,no,yes,no,yes,yes,no,5,4,2,1,1,4,0,C,C,C,14,15,15
GP,M,18,U,GT3,T,2,1,services,services,reputation,yes,yes,mother,1,3,0,no,no,no,yes,yes,no,4,2,4,1,3,2,0,C,C,C,14,15,15
GP,M,18,U,GT3,T,4,3,teacher,other,course,yes,yes,mother,1,3,0,no,yes,no,no,yes,yes,5,4,5,2,3,5,0,C,C,C,14,13,14
GP,M,20,U,GT3,A,3,2,services,other,course,yes,no,other,1,1,2,no,no,no,yes,yes,no,5,5,3,1,1,5,0,C,C,C,14,15,15
MS,F,18,R,GT3,T,2,2,at_home,other,other,yes,no,mother,2,3,0,no,no,no,no,yes,no,5,3,3,1,3,4,0,C,D,C,14,17,15
MS,M,17,U,GT3,T,2,3,other,services,home,yes,yes,father,2,2,0,no,no,no,yes,yes,no,4,4,3,1,1,3,4,C,C,D,14,15,16
MS,M,18,U,LE3,T,1,1,other,services,home,no,yes,father,2,1,0,no,no,no,no,yes,yes,3,3,2,1,2,3,2,C,C,C,14,13,14
GP,F,15,R,LE3,T,3,1,other,other,reputation,no,yes,father,2,4,0,no,yes,no,no,yes,no,4,4,2,2,3,3,6,C,C,C,15,15,15
GP,F,15,U,GT3,A,4,3,services,services,reputation,yes,yes,mother,1,2,0,no,yes,no,yes,yes,no,4,3,2,1,1,1,0,C,C,C,15,14,15
GP,F,15,U,GT3,T,4,2,other,other,reputation,yes,yes,mother,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,1,4,C,C,C,15,15,15
GP,F,16,U,GT3,A,3,4,services,other,course,yes,yes,father,1,1,0,no,no,no,no,yes,no,3,2,1,1,4,5,12,C,C,C,15,13,14
GP,F,16,U,GT3,T,4,4,teacher,services,home,no,yes,mother,1,3,0,no,yes,no,yes,yes,no,5,3,2,1,1,5,4,C,D,D,15,16,16
GP,F,16,U,LE3,T,4,4,health,health,other,yes,yes,mother,1,3,0,no,yes,no,yes,yes,yes,5,4,5,1,1,4,2,C,C,C,15,15,14
GP,F,17,R,GT3,T,2,4,at_home,other,course,yes,yes,father,1,3,0,no,yes,no,no,yes,yes,4,4,3,1,1,5,0,C,C,C,15,15,15
GP,F,17,R,GT3,T,3,4,at_home,services,course,no,yes,father,1,3,0,no,yes,no,yes,yes,no,4,3,4,2,5,5,2,C,C,D,15,15,17
GP,F,17,U,GT3,A,2,1,other,other,course,yes,yes,mother,2,3,0,no,no,no,yes,yes,yes,3,2,3,1,2,3,0,C,C,D,15,15,16
GP,F,17,U,GT3,A,4,3,services,services,course,yes,yes,mother,1,2,0,no,yes,no,no,yes,yes,5,2,2,1,2,5,14,C,C,D,15,14,17
GP,F,17,U,GT3,T,2,4,at_home,health,reputation,yes,yes,mother,2,2,0,no,yes,no,no,yes,yes,4,3,3,1,1,1,6,C,D,D,15,16,16
GP,F,17,U,GT3,T,3,3,other,other,home,no,no,mother,1,3,0,no,no,no,yes,yes,no,3,2,3,1,1,4,2,C,C,C,15,12,13
GP,F,17,U,GT3,T,4,4,teacher,teacher,course,no,yes,mother,2,3,0,no,yes,no,no,yes,yes,4,3,3,1,2,4,4,C,C,C,15,14,15
GP,F,18,U,GT3,T,4,3,services,other,home,yes,yes,father,1,2,0,no,yes,no,no,yes,yes,3,1,2,1,3,2,2,C,C,C,15,15,15
GP,M,15,U,GT3,T,4,4,services,services,reputation,yes,yes,mother,2,2,0,no,yes,no,yes,yes,no,4,3,1,1,1,5,2,C,C,C,15,15,15
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,yes,no,mother,1,2,0,no,yes,no,yes,yes,no,3,2,2,1,1,5,8,C,C,D,15,15,16
GP,M,15,U,LE3,A,3,2,services,other,home,yes,yes,mother,1,2,0,no,yes,no,no,yes,no,4,2,2,1,1,1,0,C,D,D,15,16,17
GP,M,16,U,GT3,T,2,1,other,other,course,yes,yes,mother,3,1,0,no,no,no,no,yes,no,4,3,3,1,1,4,7,C,D,D,15,16,16
GP,M,16,U,GT3,T,4,4,services,services,course,yes,yes,mother,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,5,0,C,C,C,15,13,13
GP,M,17,U,LE3,T,4,3,health,other,course,yes,yes,mother,2,2,0,no,no,no,yes,yes,yes,2,5,5,1,4,5,8,C,C,C,15,15,15
GP,M,18,R,GT3,T,4,3,teacher,services,course,yes,yes,mother,1,3,0,no,no,no,no,yes,yes,5,3,2,1,2,4,4,C,C,D,15,14,17
